PERIOD,CUSTOMER,LOCATION_DC,MEMBERSHIP_NCIX
202601,ROYAL GOLDEN EAGLE INDONESIA,JAKARTA MERUYA,
202601,UIN SUNAN GUNUNG JATI,JAKARTA JATINEGARA,
202601,PDAM KAB BALANGAN,SURABAYA KEBALEN,
202601,PT USSI PINBUK PRIMA SOFTWARE,BANDUNG LEMBONG,
202601,PT MEDIA CEPAT INDONESIA,JAKARTA KARET TENGSIN,
202601,PT. PERTAMINA HULU KALIMANTAN TIMUR,BALIKPAPAN BATUAMPAR,
202601,ATLANTIC RICHFIELD INDONESIA,SURABAYA GUBENG,
202601,UNISSULA,SEMARANG CANDI,
202601,UNIVERISTAS NEGERI YOGYAKARTA (IKIP),YOGYAKARTA KOTABARU,
202601,PT KUPANG INTERMEDIA,DENPASAR KALIASEM,
202601,PEMKAB TAPIN,SURABAYA GUBENG,
202601,UNIV ATMAJAYA YOGYAKARTA,YOGYAKARTA KOTABARU,
202601,PT ARAZ INTI LINE,LAMPUNG TANJUNG KARANG,
202601,PT ALAM JAYA PRIMANUSA,SURABAYA GUBENG,
202601,PEMKOT SURABAYA,SURABAYA GUBENG,
202601,PT ATOME FINANCE INDONESIA,JAKARTA KARET TENGSIN,
202601,PT SAKTI MEDIA TELEKOMUNIKASI,PALEMBANG TALANG KALAPA,
202601,PT SUMATRA MULTIMEDIA SOLUSI,LAMPUNG TANJUNG KARANG,
202601,PT SYAPUTRA CAPITAL INVESTAMA,PALEMBANG TALANG KALAPA,
202601,KEJAKSAAN AGUNG,JAKARTA KARET TENGSIN,
202601,UNIVERSITAS SAM RATULANGI,MANADO PANIKI,
202601,RS KASIH IBU,PUGERAN YOGYAKARTA,
202601,PT. ADMINISTRASI MEDIKA,JAKARTA JATINEGARA,
202601,PT DAWANG LESTARI INDAH,BANDUNG LEMBONG,
202601,PT INFOMEDIA NUSANTARA,JAKARTA JATINEGARA,
202601,MAHATO LINTAS BUANA,PEKANBARU CENTRUM,
202601,PT HIPERNET INDODATA,BANDUNG LEMBONG,
202601,TELKOM INFRASTRUKTUR INDONESIA,SURABAYA GUBENG,Membership Class C
202601,MEGA AKSES PERSADA (FIBERSTAR),SURABAYA GUBENG,
202601,MONSADATA NUANSA TEKNOLOGI,JAKARTA KARET TENGSIN,
202601,PRIMAKOM INTERBUANA,JAKARTA KARET TENGSIN,Membership Class C
202601,WOWRACK INDONESIA,JAKARTA MERUYA,
202601,ERA NETWORK INDONESIA,SURABAYA GUBENG,Membership Class C
202601,TELKOM DWS-TRIAL 8IC,JAKARTA KARET TENGSIN,
202601,JAVA DIGITAL NUSANTARA,PALEMBANG TALANG KALAPA,
202601,PC24 CYBER TELIN,PONTIANAK CENTRUM,
202601,PC24 CYBER TELIN,MAKASSAR MATOANGIN,
202601,DATA UTAMA DINAMIKA,SEMARANG CANDI,
202601,MULTI TRANS DATA,JAKARTA KARET TENGSIN,
202601,MITRA VISIONER PRATAMA,MALANG,
202601,XLSMART TELECOM SEJAHTERA,YOGYAKARTA KOTABARU,
202601,PT . INSAN SARANA TELEMATIKA,BANJARMASIN ULIN,
202601,PT . INSAN SARANA TELEMATIKA,MANADO PANIKI,
202601,TELEKOMUNIKASI INDONESIA INTERNATIONAL,JAKARTA JATINEGARA,
202601,SATUNOL DIGITAL TEKNOLOGI,MAKASSAR MATOANGIN,
202601,MEGA AKSES PERSADA (FIBERSTAR),DENPASAR KALIASEM,
202601,INTI DATA TELEMATIKA,BALIKPAPAN BATUAMPAR,
202601,SPARKOO TECHNOLOGIES INDONESIA,JAKARTA MERUYA,
